group,residual,angle,file_a,split_a,file_b,split_b,class
446,1.77,356.0,data_clean\train\def_front\cast_def_0_5978.jpeg,train,data_clean\train\def_front\cast_def_0_880.jpeg,train,def_front
439,1.77,10.0,data_clean\train\def_front\cast_def_0_3464.jpeg,train,data_clean\train\def_front\cast_def_0_7878.jpeg,train,def_front
672,1.78,2.0,data_clean\train\def_front\cast_def_0_1276.jpeg,train,data_clean\train\def_front\cast_def_0_215.jpeg,train,def_front
36,1.80,352.0,data_clean\train\def_front\cast_def_0_6422.jpeg,train,data_clean\val\def_front\cast_def_0_669.jpeg,val,def_front
652,1.80,356.0,data_clean\train\def_front\cast_def_0_687.jpeg,train,data_clean\val\def_front\cast_def_0_1682.jpeg,val,def_front
407,1.81,10.0,data_clean\train\def_front\cast_def_0_2173.jpeg,train,data_clean\train\def_front\cast_def_0_3090.jpeg,train,def_front
93,1.81,6.0,data_clean\train\def_front\cast_def_0_1706.jpeg,train,data_clean\train\def_front\cast_def_0_5251.jpeg,train,def_front
218,1.81,8.0,data_clean\train\def_front\cast_def_0_9220.jpeg,train,data_clean\train\def_front\cast_def_0_9627.jpeg,train,def_front
1894,1.82,4.0,data_clean\train\def_front\cast_def_0_2635.jpeg,train,data_clean\train\def_front\cast_def_0_4657.jpeg,train,def_front
21,1.84,270.0,data_clean\train\ok_front\cast_ok_0_4299.jpeg,train,data_clean\train\ok_front\cast_ok_0_7228.jpeg,train,ok_front
833,1.84,6.0,data_clean\train\def_front\cast_def_0_8256.jpeg,train,data_clean\train\def_front\cast_def_0_875.jpeg,train,def_front
93,1.84,6.0,data_clean\train\def_front\cast_def_0_1706.jpeg,train,data_clean\val\def_front\cast_def_0_2211.jpeg,val,def_front
286,1.84,12.0,data_clean\train\ok_front\cast_ok_0_1604.jpeg,train,data_clean\train\ok_front\cast_ok_0_7546.jpeg,train,ok_front
793,1.85,4.0,data_clean\train\def_front\cast_def_0_68.jpeg,train,data_clean\val\def_front\cast_def_0_1412.jpeg,val,def_front
445,1.85,356.0,data_clean\train\def_front\cast_def_0_3182.jpeg,train,data_clean\val\def_front\cast_def_0_2510.jpeg,val,def_front
244,1.85,8.0,data_clean\train\def_front\cast_def_0_3495.jpeg,train,data_clean\train\def_front\cast_def_0_3973.jpeg,train,def_front
179,1.85,4.0,data_clean\train\def_front\cast_def_0_6409.jpeg,train,data_clean\val\def_front\cast_def_0_1645.jpeg,val,def_front
259,1.86,350.0,data_clean\train\def_front\cast_def_0_6589.jpeg,train,data_clean\train\def_front\cast_def_0_9342.jpeg,train,def_front
757,1.86,16.0,data_clean\train\def_front\cast_def_0_2630.jpeg,train,data_clean\train\def_front\cast_def_0_8532.jpeg,train,def_front
1273,1.87,6.0,data_clean\train\def_front\cast_def_0_7221.jpeg,train,data_clean\train\def_front\cast_def_0_7269.jpeg,train,def_front
120,1.87,352.0,data_clean\train\def_front\cast_def_0_9700.jpeg,train,data_clean\train\def_front\cast_def_0_9707.jpeg,train,def_front
1229,1.87,352.0,data_clean\train\def_front\cast_def_0_6459.jpeg,train,data_clean\val\def_front\cast_def_0_661.jpeg,val,def_front
256,1.88,6.0,data_clean\train\def_front\cast_def_0_5354.jpeg,train,data_clean\train\def_front\cast_def_0_6865.jpeg,train,def_front
1504,1.88,0.0,data_clean\train\def_front\cast_def_0_5370.jpeg,train,data_clean\train\def_front\cast_def_0_5754.jpeg,train,def_front
102,1.88,4.0,data_clean\train\def_front\cast_def_0_3488.jpeg,train,data_clean\train\def_front\cast_def_0_5274.jpeg,train,def_front
439,1.88,8.0,data_clean\train\def_front\cast_def_0_3047.jpeg,train,data_clean\train\ok_front\cast_ok_0_472.jpeg,train,def_front
83,1.89,0.0,data_clean\train\def_front\cast_def_0_1325.jpeg,train,data_clean\train\def_front\cast_def_0_4209.jpeg,train,def_front
725,1.89,6.0,data_clean\train\def_front\cast_def_0_380.jpeg,train,data_clean\train\def_front\cast_def_0_970.jpeg,train,def_front
1463,1.89,352.0,data_clean\train\ok_front\cast_ok_0_5073.jpeg,train,data_clean\train\ok_front\cast_ok_0_8687.jpeg,train,ok_front
84,1.90,4.0,data_clean\train\def_front\cast_def_0_3534.jpeg,train,data_clean\train\def_front\cast_def_0_9935.jpeg,train,def_front
26,1.90,10.0,data_clean\train\def_front\cast_def_0_3338.jpeg,train,data_clean\train\def_front\cast_def_0_9818.jpeg,train,def_front
614,1.91,242.0,data_clean\train\ok_front\cast_ok_0_3500.jpeg,train,data_clean\train\ok_front\cast_ok_0_6402.jpeg,train,ok_front
,1.91,354.0,data_clean\train\def_front\cast_def_0_3436.jpeg,train,data_clean\train\def_front\cast_def_0_3443.jpeg,train,def_front
83,1.91,354.0,data_clean\train\def_front\cast_def_0_1244.jpeg,train,data_clean\train\def_front\cast_def_0_4209.jpeg,train,def_front
117,1.91,356.0,data_clean\train\def_front\cast_def_0_3351.jpeg,train,data_clean\train\def_front\cast_def_0_5362.jpeg,train,def_front
694,1.91,0.0,data_clean\train\def_front\cast_def_0_5443.jpeg,train,data_clean\val\def_front\cast_def_0_193.jpeg,val,def_front
133,1.91,34.0,data_clean\train\ok_front\cast_ok_0_3472.jpeg,train,data_clean\train\ok_front\cast_ok_0_9973.jpeg,train,ok_front
102,1.91,354.0,data_clean\train\def_front\cast_def_0_6926.jpeg,train,data_clean\train\def_front\cast_def_0_7485.jpeg,train,def_front
793,1.92,6.0,data_clean\train\def_front\cast_def_0_6704.jpeg,train,data_clean\val\def_front\cast_def_0_1412.jpeg,val,def_front
492,1.92,12.0,data_clean\train\ok_front\cast_ok_0_2491.jpeg,train,data_clean\train\ok_front\cast_ok_0_9028.jpeg,train,ok_front
816,1.92,0.0,data_clean\train\def_front\cast_def_0_4546.jpeg,train,data_clean\train\def_front\cast_def_0_8931.jpeg,train,def_front
1839,1.93,10.0,data_clean\train\ok_front\cast_ok_0_7175.jpeg,train,data_clean\train\ok_front\cast_ok_0_8035.jpeg,train,ok_front
46,1.93,352.0,data_clean\train\ok_front\cast_ok_0_1529.jpeg,train,data_clean\train\ok_front\cast_ok_0_4854.jpeg,train,ok_front
150,1.93,174.0,data_clean\train\ok_front\cast_ok_0_4718.jpeg,train,data_clean\train\ok_front\cast_ok_0_7463.jpeg,train,ok_front
163,1.93,180.0,data_clean\train\ok_front\cast_ok_0_2182.jpeg,train,data_clean\train\ok_front\cast_ok_0_7133.jpeg,train,ok_front
1120,1.94,352.0,data_clean\train\def_front\cast_def_0_2368.jpeg,train,data_clean\train\def_front\cast_def_0_5260.jpeg,train,def_front
256,1.94,2.0,data_clean\train\def_front\cast_def_0_6865.jpeg,train,data_clean\val\def_front\cast_def_0_2451.jpeg,val,def_front
82,1.94,354.0,data_clean\train\def_front\cast_def_0_4718.jpeg,train,data_clean\val\def_front\cast_def_0_1497.jpeg,val,def_front
768,1.95,350.0,data_clean\train\def_front\cast_def_0_5806.jpeg,train,data_clean\train\def_front\cast_def_0_6853.jpeg,train,def_front
182,1.95,10.0,data_clean\train\def_front\cast_def_0_3845.jpeg,train,data_clean\train\def_front\cast_def_0_9880.jpeg,train,def_front
230,1.95,0.0,data_clean\train\def_front\cast_def_0_4769.jpeg,train,data_clean\train\def_front\cast_def_0_8384.jpeg,train,def_front
209,1.95,4.0,data_clean\train\def_front\cast_def_0_650.jpeg,train,data_clean\train\def_front\cast_def_0_8483.jpeg,train,def_front
704,1.95,6.0,data_clean\train\def_front\cast_def_0_6301.jpeg,train,data_clean\train\def_front\cast_def_0_8886.jpeg,train,def_front
374,1.95,350.0,data_clean\train\def_front\cast_def_0_2760.jpeg,train,data_clean\train\def_front\cast_def_0_422.jpeg,train,def_front
232,1.96,8.0,data_clean\train\def_front\cast_def_0_610.jpeg,train,data_clean\train\def_front\cast_def_0_8328.jpeg,train,def_front
371,1.96,356.0,data_clean\train\def_front\cast_def_0_4659.jpeg,train,data_clean\train\def_front\cast_def_0_5887.jpeg,train,def_front
46,1.96,6.0,data_clean\train\ok_front\cast_ok_0_3522.jpeg,train,data_clean\train\ok_front\cast_ok_0_574.jpeg,train,ok_front
236,1.96,356.0,data_clean\train\def_front\cast_def_0_2937.jpeg,train,data_clean\train\def_front\cast_def_0_6716.jpeg,train,def_front
1670,1.96,16.0,data_clean\train\def_front\cast_def_0_5286.jpeg,train,data_clean\train\def_front\cast_def_0_9487.jpeg,train,def_front
1290,1.96,6.0,data_clean\train\ok_front\cast_ok_0_1103.jpeg,train,data_clean\train\ok_front\cast_ok_0_4407.jpeg,train,ok_front
1009,1.96,356.0,data_clean\train\ok_front\cast_ok_0_4141.jpeg,train,data_clean\train\ok_front\cast_ok_0_5757.jpeg,train,ok_front
614,1.96,232.0,data_clean\train\ok_front\cast_ok_0_5912.jpeg,train,data_clean\train\ok_front\cast_ok_0_6402.jpeg,train,ok_front
840,1.97,346.0,data_clean\train\def_front\cast_def_0_5476.jpeg,train,data_clean\train\def_front\cast_def_0_6515.jpeg,train,def_front
6,1.97,356.0,data_clean\train\def_front\cast_def_0_3130.jpeg,train,data_clean\train\def_front\cast_def_0_378.jpeg,train,def_front
554,1.97,354.0,data_clean\train\ok_front\cast_ok_0_313.jpeg,train,data_clean\train\ok_front\cast_ok_0_7234.jpeg,train,ok_front
1962,1.97,356.0,data_clean\train\def_front\cast_def_0_5304.jpeg,train,data_clean\train\def_front\cast_def_0_7850.jpeg,train,def_front
26,1.97,10.0,data_clean\train\def_front\cast_def_0_3338.jpeg,train,data_clean\train\def_front\cast_def_0_3541.jpeg,train,def_front
804,1.97,354.0,data_clean\train\def_front\cast_def_0_3865.jpeg,train,data_clean\train\def_front\cast_def_0_9382.jpeg,train,def_front
78,1.97,0.0,data_clean\train\def_front\cast_def_0_3828.jpeg,train,data_clean\train\def_front\cast_def_0_9264.jpeg,train,def_front
28,1.98,354.0,data_clean\train\def_front\cast_def_0_1207.jpeg,train,data_clean\train\def_front\cast_def_0_3404.jpeg,train,def_front
718,1.98,2.0,data_clean\train\def_front\cast_def_0_3166.jpeg,train,data_clean\train\def_front\cast_def_0_9521.jpeg,train,def_front
32,1.98,354.0,data_clean\train\def_front\cast_def_0_4855.jpeg,train,data_clean\val\def_front\cast_def_0_1633.jpeg,val,def_front
1944,1.98,6.0,data_clean\train\def_front\cast_def_0_4498.jpeg,train,data_clean\train\def_front\cast_def_0_726.jpeg,train,def_front
26,1.98,6.0,data_clean\train\def_front\cast_def_0_2814.jpeg,train,data_clean\train\def_front\cast_def_0_9818.jpeg,train,def_front
6,1.98,356.0,data_clean\train\def_front\cast_def_0_4615.jpeg,train,data_clean\train\def_front\cast_def_0_9006.jpeg,train,def_front
464,1.98,6.0,data_clean\train\def_front\cast_def_0_4754.jpeg,train,data_clean\train\def_front\cast_def_0_5139.jpeg,train,def_front
1461,1.98,4.0,data_clean\train\ok_front\cast_ok_0_6640.jpeg,train,data_clean\train\ok_front\cast_ok_0_8741.jpeg,train,ok_front
6,1.99,10.0,data_clean\train\def_front\cast_def_0_378.jpeg,train,data_clean\train\def_front\cast_def_0_4923.jpeg,train,def_front
94,1.99,354.0,data_clean\train\def_front\cast_def_0_1707.jpeg,train,data_clean\train\def_front\cast_def_0_7463.jpeg,train,def_front
,1.99,4.0,data_clean\train\def_front\cast_def_0_4016.jpeg,train,data_clean\train\def_front\cast_def_0_5069.jpeg,train,def_front
52,1.99,348.0,data_clean\train\ok_front\cast_ok_0_1720.jpeg,train,data_clean\train\ok_front\cast_ok_0_77.jpeg,train,ok_front
182,1.99,356.0,data_clean\train\def_front\cast_def_0_4890.jpeg,train,data_clean\train\def_front\cast_def_0_9445.jpeg,train,def_front
833,1.99,350.0,data_clean\train\def_front\cast_def_0_8256.jpeg,train,data_clean\val\def_front\cast_def_0_2422.jpeg,val,def_front
826,2.00,4.0,data_clean\train\def_front\cast_def_0_5059.jpeg,train,data_clean\train\def_front\cast_def_0_8824.jpeg,train,def_front
80,2.00,352.0,data_clean\train\def_front\cast_def_0_5333.jpeg,train,data_clean\train\def_front\cast_def_0_6401.jpeg,train,def_front
6,2.01,6.0,data_clean\train\def_front\cast_def_0_3130.jpeg,train,data_clean\train\def_front\cast_def_0_4923.jpeg,train,def_front
19,2.01,356.0,data_clean\train\ok_front\cast_ok_0_1693.jpeg,train,data_clean\train\ok_front\cast_ok_0_8788.jpeg,train,ok_front
1082,2.01,354.0,data_clean\train\def_front\cast_def_0_1761.jpeg,train,data_clean\train\def_front\cast_def_0_6394.jpeg,train,def_front
1764,2.01,358.0,data_clean\train\ok_front\cast_ok_0_1690.jpeg,train,data_clean\train\ok_front\cast_ok_0_9133.jpeg,train,ok_front
101,2.01,6.0,data_clean\train\def_front\cast_def_0_5125.jpeg,train,data_clean\train\def_front\cast_def_0_8071.jpeg,train,def_front
1745,2.01,8.0,data_clean\train\def_front\cast_def_0_8718.jpeg,train,data_clean\train\def_front\cast_def_0_9647.jpeg,train,def_front
1406,2.02,10.0,data_clean\train\ok_front\cast_ok_0_4743.jpeg,train,data_clean\train\ok_front\cast_ok_0_9421.jpeg,train,ok_front
119,2.02,4.0,data_clean\train\def_front\cast_def_0_5242.jpeg,train,data_clean\train\def_front\cast_def_0_9157.jpeg,train,def_front
432,2.02,352.0,data_clean\train\def_front\cast_def_0_3769.jpeg,train,data_clean\train\def_front\cast_def_0_7355.jpeg,train,def_front
205,2.03,6.0,data_clean\train\def_front\cast_def_0_191.jpeg,train,data_clean\train\def_front\cast_def_0_5192.jpeg,train,def_front
1107,2.03,170.0,data_clean\train\def_front\cast_def_0_3158.jpeg,train,data_clean\train\def_front\cast_def_0_4480.jpeg,train,def_front
211,2.03,350.0,data_clean\train\def_front\cast_def_0_4744.jpeg,train,data_clean\train\def_front\cast_def_0_8338.jpeg,train,def_front
302,2.03,12.0,data_clean\train\ok_front\cast_ok_0_3254.jpeg,train,data_clean\train\ok_front\cast_ok_0_5399.jpeg,train,ok_front
410,2.03,172.0,data_clean\train\def_front\cast_def_0_7372.jpeg,train,data_clean\train\def_front\cast_def_0_9465.jpeg,train,def_front
1714,2.03,180.0,data_clean\val\def_front\cast_def_0_1471.jpeg,val,data_clean\val\def_front\cast_def_0_1688.jpeg,val,def_front
1095,2.03,0.0,data_clean\train\def_front\cast_def_0_194.jpeg,train,data_clean\val\def_front\cast_def_0_283.jpeg,val,def_front
112,2.03,6.0,data_clean\train\def_front\cast_def_0_3147.jpeg,train,data_clean\train\def_front\cast_def_0_3227.jpeg,train,def_front
119,2.04,350.0,data_clean\train\def_front\cast_def_0_5242.jpeg,train,data_clean\train\def_front\cast_def_0_7208.jpeg,train,def_front
46,2.04,6.0,data_clean\train\ok_front\cast_ok_0_1529.jpeg,train,data_clean\train\ok_front\cast_ok_0_574.jpeg,train,ok_front
81,2.04,354.0,data_clean\train\def_front\cast_def_0_1720.jpeg,train,data_clean\train\def_front\cast_def_0_1965.jpeg,train,def_front
377,2.04,348.0,data_clean\train\def_front\cast_def_0_175.jpeg,train,data_clean\train\def_front\cast_def_0_8308.jpeg,train,def_front
297,2.04,4.0,data_clean\train\ok_front\cast_ok_0_2214.jpeg,train,data_clean\train\ok_front\cast_ok_0_9771.jpeg,train,ok_front
233,2.04,68.0,data_clean\train\def_front\cast_def_0_7163.jpeg,train,data_clean\train\def_front\cast_def_0_826.jpeg,train,def_front
62,2.05,6.0,data_clean\train\ok_front\cast_ok_0_6139.jpeg,train,data_clean\train\ok_front\cast_ok_0_7420.jpeg,train,ok_front
635,2.05,74.0,data_clean\train\ok_front\cast_ok_0_4633.jpeg,train,data_clean\train\ok_front\cast_ok_0_8254.jpeg,train,ok_front
312,2.05,8.0,data_clean\train\ok_front\cast_ok_0_3420.jpeg,train,data_clean\train\ok_front\cast_ok_0_4886.jpeg,train,ok_front
1099,2.05,12.0,data_clean\train\def_front\cast_def_0_3690.jpeg,train,data_clean\train\def_front\cast_def_0_4830.jpeg,train,def_front
83,2.05,354.0,data_clean\train\def_front\cast_def_0_4209.jpeg,train,data_clean\train\def_front\cast_def_0_9221.jpeg,train,def_front
228,2.05,6.0,data_clean\train\def_front\cast_def_0_5350.jpeg,train,data_clean\train\def_front\cast_def_0_9145.jpeg,train,def_front
708,2.05,354.0,data_clean\train\def_front\cast_def_0_4592.jpeg,train,data_clean\train\def_front\cast_def_0_5776.jpeg,train,def_front
,2.05,350.0,data_clean\train\def_front\cast_def_0_4016.jpeg,train,data_clean\train\def_front\cast_def_0_9033.jpeg,train,def_front
38,2.06,352.0,data_clean\train\def_front\cast_def_0_3518.jpeg,train,data_clean\val\def_front\cast_def_0_1203.jpeg,val,def_front
637,2.06,350.0,data_clean\train\ok_front\cast_ok_0_4749.jpeg,train,data_clean\train\ok_front\cast_ok_0_6259.jpeg,train,ok_front
689,2.06,6.0,data_clean\train\def_front\cast_def_0_7770.jpeg,train,data_clean\train\def_front\cast_def_0_9631.jpeg,train,def_front
122,2.06,10.0,data_clean\train\def_front\cast_def_0_6489.jpeg,train,data_clean\train\def_front\cast_def_0_8774.jpeg,train,def_front
339,2.07,0.0,data_clean\train\ok_front\cast_ok_0_7469.jpeg,train,data_clean\train\ok_front\cast_ok_0_7597.jpeg,train,ok_front
172,2.07,0.0,data_clean\train\ok_front\cast_ok_0_7464.jpeg,train,data_clean\train\ok_front\cast_ok_0_7583.jpeg,train,ok_front
77,2.08,14.0,data_clean\train\def_front\cast_def_0_3541.jpeg,train,data_clean\train\def_front\cast_def_0_7077.jpeg,train,def_front
465,2.08,14.0,data_clean\train\def_front\cast_def_0_8411.jpeg,train,data_clean\train\def_front\cast_def_0_8455.jpeg,train,def_front
14,2.08,356.0,data_clean\train\def_front\cast_def_0_8349.jpeg,train,data_clean\train\def_front\cast_def_0_9155.jpeg,train,def_front
664,2.08,0.0,data_clean\val\def_front\cast_def_0_1634.jpeg,val,data_clean\val\def_front\cast_def_0_3473.jpeg,val,def_front
1051,2.08,354.0,data_clean\train\def_front\cast_def_0_7915.jpeg,train,data_clean\val\def_front\cast_def_0_1517.jpeg,val,def_front
212,2.08,10.0,data_clean\train\def_front\cast_def_0_1966.jpeg,train,data_clean\train\def_front\cast_def_0_7206.jpeg,train,def_front
265,2.08,350.0,data_clean\train\ok_front\cast_ok_0_1062.jpeg,train,data_clean\train\ok_front\cast_ok_0_5891.jpeg,train,ok_front
425,2.08,348.0,data_clean\train\def_front\cast_def_0_2489.jpeg,train,data_clean\train\def_front\cast_def_0_6114.jpeg,train,def_front
1668,2.08,4.0,data_clean\train\def_front\cast_def_0_5393.jpeg,train,data_clean\train\def_front\cast_def_0_653.jpeg,train,def_front
671,2.09,6.0,data_clean\train\def_front\cast_def_0_1273.jpeg,train,data_clean\train\def_front\cast_def_0_9386.jpeg,train,def_front
639,2.09,0.0,data_clean\train\ok_front\cast_ok_0_4923.jpeg,train,data_clean\train\ok_front\cast_ok_0_5094.jpeg,train,ok_front
238,2.09,348.0,data_clean\train\def_front\cast_def_0_3925.jpeg,train,data_clean\train\def_front\cast_def_0_6247.jpeg,train,def_front
371,2.09,8.0,data_clean\train\def_front\cast_def_0_5887.jpeg,train,data_clean\train\def_front\cast_def_0_9446.jpeg,train,def_front
929,2.09,0.0,data_clean\train\ok_front\cast_ok_0_837.jpeg,train,data_clean\train\ok_front\cast_ok_0_8404.jpeg,train,ok_front
39,2.09,26.0,data_clean\train\ok_front\cast_ok_0_3278.jpeg,train,data_clean\train\ok_front\cast_ok_0_6878.jpeg,train,ok_front
1387,2.09,6.0,data_clean\train\ok_front\cast_ok_0_609.jpeg,train,data_clean\train\ok_front\cast_ok_0_8391.jpeg,train,ok_front
755,2.09,350.0,data_clean\train\def_front\cast_def_0_2599.jpeg,train,data_clean\train\def_front\cast_def_0_3793.jpeg,train,def_front
239,2.10,2.0,data_clean\train\def_front\cast_def_0_6426.jpeg,train,data_clean\train\def_front\cast_def_0_9705.jpeg,train,def_front
105,2.10,6.0,data_clean\train\def_front\cast_def_0_6776.jpeg,train,data_clean\train\def_front\cast_def_0_6947.jpeg,train,def_front
219,2.10,326.0,data_clean\train\def_front\cast_def_0_8428.jpeg,train,data_clean\train\def_front\cast_def_0_9757.jpeg,train,def_front
6,2.10,12.0,data_clean\train\def_front\cast_def_0_2225.jpeg,train,data_clean\train\def_front\cast_def_0_5493.jpeg,train,def_front
83,2.10,2.0,data_clean\train\def_front\cast_def_0_7638.jpeg,train,data_clean\val\def_front\cast_def_0_1269.jpeg,val,def_front
