id,file,cluster,cluster_name
87,data_clean\train\def_front\cast_def_0_5651.jpeg,1,surface_spot
88,data_clean\train\def_front\cast_def_0_8498.jpeg,1,surface_spot
89,data_clean\train\def_front\cast_def_0_9607.jpeg,0,frayed_edge
90,data_clean\train\def_front\cast_def_0_9259.jpeg,1,surface_spot
91,data_clean\train\def_front\cast_def_0_6954.jpeg,0,frayed_edge
92,data_clean\train\def_front\cast_def_0_633.jpeg,1,surface_spot
93,data_clean\train\def_front\cast_def_0_6215.jpeg,1,surface_spot
94,data_clean\train\def_front\cast_def_0_1858.jpeg,1,surface_spot
95,data_clean\train\def_front\cast_def_0_7388.jpeg,1,surface_spot
96,data_clean\train\def_front\cast_def_0_9842.jpeg,0,frayed_edge
97,data_clean\train\def_front\cast_def_0_4639.jpeg,0,frayed_edge
98,data_clean\val\def_front\cast_def_0_1507.jpeg,0,frayed_edge
99,data_clean\val\def_front\cast_def_0_436.jpeg,1,surface_spot
100,data_clean\train\def_front\cast_def_0_8671.jpeg,1,surface_spot
