id,file,cluster,group
63,data_clean\train\def_front\cast_def_0_3696.jpeg,1,B
64,data_clean\train\def_front\cast_def_0_9020.jpeg,0,A
65,data_clean\train\def_front\cast_def_0_7121.jpeg,0,A
66,data_clean\train\def_front\cast_def_0_4427.jpeg,1,B
67,data_clean\val\def_front\cast_def_0_108.jpeg,0,A
68,data_clean\train\def_front\cast_def_0_3233.jpeg,1,B
69,data_clean\train\def_front\cast_def_0_8651.jpeg,0,A
70,data_clean\train\def_front\cast_def_0_6834.jpeg,1,B
71,data_clean\train\def_front\cast_def_0_2116.jpeg,1,B
72,data_clean\train\def_front\cast_def_0_4162.jpeg,1,B
73,data_clean\train\def_front\cast_def_0_2852.jpeg,1,B
74,data_clean\train\def_front\cast_def_0_5693.jpeg,1,B
75,data_clean\train\def_front\cast_def_0_8381.jpeg,0,A
76,data_clean\train\def_front\cast_def_0_2692.jpeg,0,A
77,data_clean\train\def_front\cast_def_0_9631.jpeg,1,B
78,data_clean\train\def_front\cast_def_0_6124.jpeg,0,A
79,data_clean\train\def_front\cast_def_0_9923.jpeg,0,A
80,data_clean\train\def_front\cast_def_0_5804.jpeg,0,A
81,data_clean\train\def_front\cast_def_0_822.jpeg,0,A
82,data_clean\train\def_front\cast_def_0_9500.jpeg,1,B
83,data_clean\val\def_front\cast_def_0_1599.jpeg,1,B
84,data_clean\train\def_front\cast_def_0_5542.jpeg,1,B
85,data_clean\train\def_front\cast_def_0_687.jpeg,1,B
86,data_clean\train\def_front\cast_def_0_5896.jpeg,0,A
87,data_clean\train\def_front\cast_def_0_6991.jpeg,1,B
88,data_clean\train\def_front\cast_def_0_5121.jpeg,0,A
89,data_clean\train\def_front\cast_def_0_5024.jpeg,1,B
90,data_clean\val\def_front\cast_def_0_491.jpeg,0,A
91,data_clean\train\def_front\cast_def_0_4361.jpeg,0,A
92,data_clean\train\def_front\cast_def_0_7477.jpeg,0,A
93,data_clean\train\def_front\cast_def_0_9545.jpeg,1,B
94,data_clean\train\def_front\cast_def_0_566.jpeg,0,A
95,data_clean\train\def_front\cast_def_0_13.jpeg,0,A
96,data_clean\train\def_front\cast_def_0_1112.jpeg,1,B
97,data_clean\train\def_front\cast_def_0_5242.jpeg,1,B
98,data_clean\train\def_front\cast_def_0_4865.jpeg,0,A
99,data_clean\train\def_front\cast_def_0_1853.jpeg,1,B
100,data_clean\train\def_front\cast_def_0_9600.jpeg,1,B
101,data_clean\train\def_front\cast_def_0_1896.jpeg,1,B
102,data_clean\train\def_front\cast_def_0_769.jpeg,0,A
103,data_clean\train\def_front\cast_def_0_9775.jpeg,0,A
104,data_clean\train\def_front\cast_def_0_9313.jpeg,0,A
105,data_clean\train\def_front\cast_def_0_2272.jpeg,0,A
106,data_clean\train\def_front\cast_def_0_9707.jpeg,1,B
107,data_clean\train\def_front\cast_def_0_9208.jpeg,0,A
108,data_clean\train\def_front\cast_def_0_2383.jpeg,1,B
109,data_clean\val\def_front\cast_def_0_9747.jpeg,0,A
110,data_clean\train\def_front\cast_def_0_421.jpeg,0,A
111,data_clean\train\def_front\cast_def_0_4860.jpeg,1,B
112,data_clean\train\def_front\cast_def_0_2404.jpeg,0,A
113,data_clean\train\def_front\cast_def_0_3773.jpeg,0,A
114,data_clean\train\def_front\cast_def_0_5062.jpeg,1,B
115,data_clean\train\def_front\cast_def_0_3155.jpeg,0,A
116,data_clean\train\def_front\cast_def_0_3369.jpeg,1,B
117,data_clean\train\def_front\cast_def_0_8106.jpeg,0,A
118,data_clean\train\def_front\cast_def_0_2701.jpeg,0,A
119,data_clean\train\def_front\cast_def_0_9890.jpeg,0,A
120,data_clean\train\def_front\cast_def_0_4041.jpeg,1,B
121,data_clean\train\def_front\cast_def_0_4241.jpeg,0,A
122,data_clean\train\def_front\cast_def_0_7537.jpeg,0,A
123,data_clean\train\def_front\cast_def_0_2478.jpeg,1,B
124,data_clean\train\def_front\cast_def_0_9867.jpeg,1,B
125,data_clean\train\def_front\cast_def_0_4406.jpeg,0,A
126,data_clean\train\def_front\cast_def_0_6675.jpeg,1,B
127,data_clean\train\def_front\cast_def_0_3037.jpeg,0,A
128,data_clean\train\def_front\cast_def_0_9449.jpeg,0,A
129,data_clean\train\def_front\cast_def_0_1763.jpeg,0,A
130,data_clean\train\def_front\cast_def_0_5362.jpeg,1,B
131,data_clean\train\def_front\cast_def_0_4772.jpeg,1,B
132,data_clean\train\def_front\cast_def_0_7441.jpeg,0,A
133,data_clean\train\def_front\cast_def_0_8501.jpeg,1,B
134,data_clean\train\def_front\cast_def_0_4947.jpeg,1,B
135,data_clean\train\def_front\cast_def_0_2401.jpeg,1,B
136,data_clean\train\def_front\cast_def_0_2681.jpeg,1,B
137,data_clean\train\def_front\cast_def_0_9018.jpeg,1,B
138,data_clean\train\def_front\cast_def_0_9317.jpeg,1,B
139,data_clean\train\def_front\cast_def_0_1301.jpeg,1,B
140,data_clean\val\def_front\cast_def_0_1400.jpeg,1,B
141,data_clean\train\def_front\cast_def_0_4246.jpeg,0,A
142,data_clean\train\def_front\cast_def_0_4297.jpeg,1,B
143,data_clean\train\def_front\cast_def_0_4075.jpeg,1,B
144,data_clean\train\def_front\cast_def_0_7261.jpeg,0,A
145,data_clean\train\def_front\cast_def_0_2337.jpeg,0,A
146,data_clean\train\def_front\cast_def_0_720.jpeg,1,B
147,data_clean\train\def_front\cast_def_0_196.jpeg,0,A
148,data_clean\train\def_front\cast_def_0_2902.jpeg,1,B
149,data_clean\train\def_front\cast_def_0_909.jpeg,1,B
150,data_clean\train\def_front\cast_def_0_3654.jpeg,1,B
151,data_clean\train\def_front\cast_def_0_8232.jpeg,0,A
152,data_clean\train\def_front\cast_def_0_827.jpeg,0,A
153,data_clean\train\def_front\cast_def_0_4944.jpeg,1,B
154,data_clean\train\def_front\cast_def_0_6042.jpeg,1,B
155,data_clean\train\def_front\cast_def_0_4166.jpeg,0,A
156,data_clean\train\def_front\cast_def_0_7312.jpeg,1,B
157,data_clean\train\def_front\cast_def_0_1972.jpeg,1,B
158,data_clean\train\def_front\cast_def_0_2282.jpeg,1,B
159,data_clean\val\def_front\cast_def_0_1688.jpeg,0,A
160,data_clean\train\def_front\cast_def_0_1210.jpeg,0,A
161,data_clean\train\def_front\cast_def_0_3388.jpeg,0,A
162,data_clean\train\def_front\cast_def_0_7608.jpeg,1,B
163,data_clean\val\def_front\cast_def_0_299.jpeg,0,A
164,data_clean\train\def_front\cast_def_0_1953.jpeg,1,B
165,data_clean\train\def_front\cast_def_0_6628.jpeg,1,B
166,data_clean\train\def_front\cast_def_0_1243.jpeg,1,B
167,data_clean\train\def_front\cast_def_0_6932.jpeg,1,B
168,data_clean\train\def_front\cast_def_0_9576.jpeg,0,A
169,data_clean\val\def_front\cast_def_0_193.jpeg,0,A
170,data_clean\train\def_front\cast_def_0_2723.jpeg,0,A
171,data_clean\train\def_front\cast_def_0_8612.jpeg,1,B
172,data_clean\train\def_front\cast_def_0_2768.jpeg,0,A
173,data_clean\train\def_front\cast_def_0_7556.jpeg,1,B
174,data_clean\val\def_front\cast_def_0_659.jpeg,0,A
175,data_clean\train\def_front\cast_def_0_810.jpeg,1,B
176,data_clean\train\def_front\cast_def_0_9710.jpeg,1,B
177,data_clean\val\def_front\cast_def_0_1568.jpeg,0,A
178,data_clean\train\def_front\cast_def_0_8055.jpeg,1,B
179,data_clean\train\def_front\cast_def_0_5470.jpeg,0,A
180,data_clean\train\def_front\cast_def_0_2283.jpeg,0,A
181,data_clean\train\def_front\cast_def_0_3536.jpeg,1,B
182,data_clean\train\def_front\cast_def_0_9141.jpeg,0,A
183,data_clean\train\def_front\cast_def_0_9194.jpeg,0,A
184,data_clean\train\def_front\cast_def_0_5801.jpeg,1,B
185,data_clean\train\def_front\cast_def_0_2291.jpeg,1,B
186,data_clean\train\def_front\cast_def_0_9915.jpeg,1,B
187,data_clean\train\def_front\cast_def_0_4357.jpeg,1,B
188,data_clean\train\def_front\cast_def_0_8203.jpeg,1,B
189,data_clean\train\def_front\cast_def_0_2400.jpeg,1,B
190,data_clean\train\def_front\cast_def_0_2990.jpeg,1,B
191,data_clean\train\def_front\cast_def_0_131.jpeg,0,A
192,data_clean\train\def_front\cast_def_0_6979.jpeg,1,B
193,data_clean\train\def_front\cast_def_0_1778.jpeg,0,A
194,data_clean\train\def_front\cast_def_0_8475.jpeg,0,A
195,data_clean\train\def_front\cast_def_0_8305.jpeg,0,A
196,data_clean\train\def_front\cast_def_0_5042.jpeg,0,A
197,data_clean\train\def_front\cast_def_0_928.jpeg,1,B
198,data_clean\val\def_front\cast_def_0_1191.jpeg,1,B
199,data_clean\train\def_front\cast_def_0_4072.jpeg,0,A
200,data_clean\train\def_front\cast_def_0_8543.jpeg,0,A
