rank,file,split,p_chip,uncertainty
73,data_clean\train\def_front\cast_def_0_8558.jpeg,train,0.4766,0.9531
74,data_clean\train\def_front\cast_def_0_3770.jpeg,train,0.5235,0.9530
75,data_clean\val\def_front\new__0_8133.jpeg,val,0.5235,0.9530
76,data_clean\train\def_front\cast_def_0_6095.jpeg,train,0.5235,0.9530
77,data_clean\train\def_front\cast_def_0_4107.jpeg,train,0.4760,0.9519
78,data_clean\train\def_front\cast_def_0_4463.jpeg,train,0.5246,0.9508
79,data_clean\train\def_front\cast_def_0_8567.jpeg,train,0.5247,0.9505
80,data_clean\train\def_front\cast_def_0_8463.jpeg,train,0.4750,0.9500
81,data_clean\train\def_front\cast_def_0_7622.jpeg,train,0.4747,0.9494
82,data_clean\train\def_front\cast_def_0_8771.jpeg,train,0.4744,0.9489
83,data_clean\train\def_front\cast_def_0_1004.jpeg,train,0.4737,0.9474
84,data_clean\train\def_front\cast_def_0_1886.jpeg,train,0.4730,0.9460
85,data_clean\train\def_front\cast_def_0_6245.jpeg,train,0.5272,0.9456
86,data_clean\train\def_front\cast_def_0_7545.jpeg,train,0.5273,0.9454
87,data_clean\val\def_front\new__0_9248.jpeg,val,0.5276,0.9449
88,data_clean\train\def_front\cast_def_0_3799.jpeg,train,0.5277,0.9445
89,data_clean\train\def_front\cast_def_0_3135.jpeg,train,0.4720,0.9439
90,data_clean\train\def_front\cast_def_0_1840.jpeg,train,0.4717,0.9434
91,data_clean\train\def_front\cast_def_0_6222.jpeg,train,0.5285,0.9431
92,data_clean\train\def_front\cast_def_0_7662.jpeg,train,0.5296,0.9408
93,data_clean\val\def_front\cast_def_0_151.jpeg,val,0.5301,0.9398
94,data_clean\val\def_front\cast_def_0_1134.jpeg,val,0.5303,0.9394
95,data_clean\train\def_front\cast_def_0_9409.jpeg,train,0.4694,0.9388
96,data_clean\train\def_front\cast_def_0_3413.jpeg,train,0.4687,0.9374
97,data_clean\train\def_front\cast_def_0_8797.jpeg,train,0.4687,0.9373
98,data_clean\val\def_front\cast_def_0_2392.jpeg,val,0.4686,0.9372
99,data_clean\train\def_front\cast_def_0_9446.jpeg,train,0.4666,0.9332
100,data_clean\val\def_front\cast_def_0_2487.jpeg,val,0.5337,0.9326
101,data_clean\train\def_front\cast_def_0_8408.jpeg,train,0.4662,0.9323
102,data_clean\train\def_front\cast_def_0_5335.jpeg,train,0.4657,0.9314
103,data_clean\val\def_front\cast_def_0_2154.jpeg,val,0.5352,0.9297
104,data_clean\train\def_front\cast_def_0_5210.jpeg,train,0.4644,0.9288
105,data_clean\val\def_front\cast_def_0_7659.jpeg,val,0.5361,0.9278
106,data_clean\train\def_front\cast_def_0_4303.jpeg,train,0.5366,0.9268
107,data_clean\train\def_front\cast_def_0_6052.jpeg,train,0.5368,0.9265
108,data_clean\train\def_front\cast_def_0_957.jpeg,train,0.5368,0.9263
109,data_clean\train\def_front\cast_def_0_2157.jpeg,train,0.4626,0.9252
110,data_clean\train\def_front\cast_def_0_6114.jpeg,train,0.4625,0.9250
111,data_clean\train\def_front\cast_def_0_1053.jpeg,train,0.4620,0.9239
112,data_clean\train\def_front\cast_def_0_6591.jpeg,train,0.4612,0.9225
113,data_clean\train\def_front\cast_def_0_4510.jpeg,train,0.4603,0.9207
114,data_clean\train\def_front\cast_def_0_8195.jpeg,train,0.4599,0.9198
115,data_clean\train\def_front\cast_def_0_1279.jpeg,train,0.5417,0.9167
116,data_clean\train\def_front\cast_def_0_8772.jpeg,train,0.4583,0.9166
117,data_clean\train\def_front\cast_def_0_1919.jpeg,train,0.5423,0.9154
118,data_clean\train\def_front\cast_def_0_2769.jpeg,train,0.4575,0.9149
119,data_clean\train\def_front\cast_def_0_4275.jpeg,train,0.4571,0.9142
120,data_clean\train\def_front\cast_def_0_9517.jpeg,train,0.5429,0.9141
121,data_clean\train\def_front\cast_def_0_3543.jpeg,train,0.5436,0.9129
122,data_clean\train\def_front\cast_def_0_1734.jpeg,train,0.5436,0.9128
123,data_clean\train\def_front\cast_def_0_7524.jpeg,train,0.4561,0.9122
124,data_clean\train\def_front\cast_def_0_2415.jpeg,train,0.4554,0.9108
125,data_clean\train\def_front\cast_def_0_8761.jpeg,train,0.4553,0.9105
126,data_clean\train\def_front\cast_def_0_8236.jpeg,train,0.5448,0.9105
127,data_clean\train\def_front\cast_def_0_70.jpeg,train,0.5460,0.9079
128,data_clean\train\def_front\cast_def_0_3433.jpeg,train,0.4531,0.9062
129,data_clean\train\def_front\cast_def_0_2138.jpeg,train,0.4529,0.9057
130,data_clean\train\def_front\cast_def_0_8076.jpeg,train,0.4526,0.9052
131,data_clean\train\def_front\cast_def_0_4978.jpeg,train,0.4524,0.9049
132,data_clean\train\def_front\cast_def_0_4428.jpeg,train,0.4524,0.9047
133,data_clean\val\def_front\cast_def_0_1376.jpeg,val,0.5478,0.9045
134,data_clean\train\def_front\cast_def_0_4919.jpeg,train,0.5483,0.9035
135,data_clean\train\def_front\cast_def_0_8175.jpeg,train,0.4514,0.9027
136,data_clean\train\def_front\cast_def_0_4754.jpeg,train,0.5490,0.9019
137,data_clean\val\def_front\cast_def_0_5302.jpeg,val,0.4502,0.9004
138,data_clean\train\def_front\cast_def_0_6484.jpeg,train,0.5502,0.8997
139,data_clean\train\def_front\cast_def_0_319.jpeg,train,0.4492,0.8984
140,data_clean\val\def_front\cast_def_0_1323.jpeg,val,0.5516,0.8968
141,data_clean\train\def_front\cast_def_0_4706.jpeg,train,0.4484,0.8967
142,data_clean\train\def_front\cast_def_0_9879.jpeg,train,0.5519,0.8961
143,data_clean\train\def_front\cast_def_0_6258.jpeg,train,0.4480,0.8959
144,data_clean\train\def_front\cast_def_0_7620.jpeg,train,0.4478,0.8957
145,data_clean\train\def_front\cast_def_0_7995.jpeg,train,0.5522,0.8955
146,data_clean\train\def_front\cast_def_0_3568.jpeg,train,0.4476,0.8953
147,data_clean\train\def_front\cast_def_0_3631.jpeg,train,0.5530,0.8939
148,data_clean\train\def_front\cast_def_0_372.jpeg,train,0.4470,0.8939
149,data_clean\train\def_front\cast_def_0_4659.jpeg,train,0.4467,0.8934
150,data_clean\train\def_front\cast_def_0_6293.jpeg,train,0.4459,0.8919
151,data_clean\train\def_front\cast_def_0_5404.jpeg,train,0.4459,0.8919
152,data_clean\train\def_front\cast_def_0_3290.jpeg,train,0.4450,0.8901
153,data_clean\train\def_front\cast_def_0_2595.jpeg,train,0.4446,0.8893
154,data_clean\val\def_front\new__0_3963.jpeg,val,0.4443,0.8886
155,data_clean\train\def_front\cast_def_0_8436.jpeg,train,0.4443,0.8885
156,data_clean\train\def_front\cast_def_0_8188.jpeg,train,0.5560,0.8881
157,data_clean\train\def_front\cast_def_0_8077.jpeg,train,0.4437,0.8875
158,data_clean\val\def_front\new__0_2055.jpeg,val,0.5566,0.8869
159,data_clean\train\def_front\cast_def_0_5791.jpeg,train,0.4427,0.8854
160,data_clean\train\def_front\cast_def_0_4916.jpeg,train,0.5575,0.8850
161,data_clean\val\def_front\cast_def_0_1233.jpeg,val,0.4425,0.8849
162,data_clean\train\def_front\cast_def_0_3610.jpeg,train,0.5577,0.8845
163,data_clean\train\def_front\cast_def_0_2199.jpeg,train,0.5581,0.8838
164,data_clean\train\def_front\cast_def_0_9000.jpeg,train,0.5583,0.8833
165,data_clean\train\def_front\cast_def_0_5139.jpeg,train,0.5584,0.8832
166,data_clean\train\def_front\cast_def_0_5922.jpeg,train,0.4410,0.8821
167,data_clean\train\def_front\cast_def_0_6566.jpeg,train,0.4410,0.8820
168,data_clean\train\def_front\cast_def_0_7100.jpeg,train,0.5594,0.8812
169,data_clean\train\def_front\cast_def_0_4324.jpeg,train,0.4398,0.8796
170,data_clean\train\def_front\cast_def_0_2678.jpeg,train,0.4392,0.8783
171,data_clean\train\def_front\cast_def_0_9558.jpeg,train,0.5610,0.8780
172,data_clean\train\def_front\cast_def_0_7831.jpeg,train,0.4384,0.8768
173,data_clean\train\def_front\cast_def_0_993.jpeg,train,0.4380,0.8761
174,data_clean\train\def_front\cast_def_0_4499.jpeg,train,0.4379,0.8758
175,data_clean\train\def_front\cast_def_0_9204.jpeg,train,0.4374,0.8748
176,data_clean\train\def_front\cast_def_0_546.jpeg,train,0.4366,0.8733
177,data_clean\train\def_front\cast_def_0_4232.jpeg,train,0.5638,0.8724
178,data_clean\train\def_front\cast_def_0_2578.jpeg,train,0.4355,0.8710
179,data_clean\train\def_front\cast_def_0_1167.jpeg,train,0.5647,0.8707
180,data_clean\train\def_front\cast_def_0_5019.jpeg,train,0.4344,0.8688
181,data_clean\train\def_front\cast_def_0_8215.jpeg,train,0.4342,0.8684
182,data_clean\train\def_front\cast_def_0_9833.jpeg,train,0.4341,0.8682
183,data_clean\train\def_front\cast_def_0_1133.jpeg,train,0.4340,0.8679
184,data_clean\train\def_front\cast_def_0_5234.jpeg,train,0.4338,0.8676
185,data_clean\val\def_front\cast_def_0_1586.jpeg,val,0.4338,0.8676
186,data_clean\train\def_front\cast_def_0_7853.jpeg,train,0.5667,0.8665
187,data_clean\train\def_front\cast_def_0_835.jpeg,train,0.4329,0.8657
188,data_clean\train\def_front\cast_def_0_7739.jpeg,train,0.5680,0.8640
189,data_clean\train\def_front\cast_def_0_7490.jpeg,train,0.5684,0.8632
190,data_clean\train\def_front\cast_def_0_6980.jpeg,train,0.5687,0.8626
191,data_clean\train\def_front\cast_def_0_5067.jpeg,train,0.5687,0.8625
192,data_clean\train\def_front\cast_def_0_9283.jpeg,train,0.4311,0.8621
193,data_clean\train\def_front\cast_def_0_9630.jpeg,train,0.5697,0.8606
194,data_clean\train\def_front\cast_def_0_8866.jpeg,train,0.4298,0.8596
195,data_clean\train\def_front\cast_def_0_6698.jpeg,train,0.4296,0.8591
196,data_clean\train\def_front\cast_def_0_2693.jpeg,train,0.5709,0.8581
197,data_clean\train\def_front\cast_def_0_5941.jpeg,train,0.4286,0.8572
198,data_clean\train\def_front\cast_def_0_2926.jpeg,train,0.5716,0.8568
199,data_clean\train\def_front\cast_def_0_6638.jpeg,train,0.4283,0.8566
200,data_clean\train\def_front\cast_def_0_7583.jpeg,train,0.5719,0.8562
