file,cluster,distance_to_centre
data_clean\train\def_front\cast_def_0_5830.jpeg,0,313.3346
data_clean\train\def_front\cast_def_0_3587.jpeg,0,314.6099
data_clean\train\def_front\cast_def_0_8787.jpeg,0,315.1754
data_clean\train\def_front\cast_def_0_671.jpeg,0,315.4281
data_clean\train\def_front\cast_def_0_8922.jpeg,0,315.9978
data_clean\val\def_front\cast_def_0_500.jpeg,0,316.1391
data_clean\train\def_front\cast_def_0_8495.jpeg,0,317.6457
data_clean\val\def_front\cast_def_0_216.jpeg,0,318.4458
data_clean\train\def_front\cast_def_0_4304.jpeg,0,319.0218
data_clean\val\def_front\cast_def_0_28.jpeg,0,321.4569
data_clean\val\def_front\cast_def_0_2376.jpeg,0,323.1393
data_clean\train\def_front\cast_def_0_6697.jpeg,0,324.1948
data_clean\train\def_front\cast_def_0_3897.jpeg,0,324.4551
data_clean\train\def_front\cast_def_0_8260.jpeg,0,324.5033
data_clean\train\def_front\cast_def_0_6056.jpeg,0,325.9685
data_clean\train\def_front\cast_def_0_7420.jpeg,0,327.7909
data_clean\train\def_front\cast_def_0_5902.jpeg,0,328.2520
data_clean\train\def_front\cast_def_0_2796.jpeg,0,329.7388
data_clean\train\def_front\cast_def_0_4018.jpeg,0,335.7207
data_clean\train\def_front\cast_def_0_4289.jpeg,0,337.8048
data_clean\train\def_front\cast_def_0_1939.jpeg,0,339.2119
data_clean\train\def_front\cast_def_0_3289.jpeg,0,340.0787
data_clean\train\def_front\cast_def_0_11.jpeg,0,344.3174
data_clean\train\def_front\cast_def_0_91.jpeg,0,346.1797
data_clean\train\def_front\cast_def_0_9042.jpeg,0,357.3045
data_clean\train\def_front\cast_def_0_544.jpeg,0,365.9858
data_clean\train\def_front\cast_def_0_4090.jpeg,0,367.6997
data_clean\train\def_front\cast_def_0_9194.jpeg,0,373.5836
data_clean\train\def_front\cast_def_0_9048.jpeg,0,383.1827
data_clean\train\def_front\cast_def_0_4815.jpeg,0,415.7760
data_clean\train\def_front\cast_def_0_7353.jpeg,0,432.3080
data_clean\train\def_front\cast_def_0_4847.jpeg,0,452.2981
data_clean\train\def_front\cast_def_0_7508.jpeg,0,459.5189
data_clean\train\def_front\cast_def_0_9419.jpeg,0,462.8630
data_clean\train\def_front\cast_def_0_6027.jpeg,0,462.8843
data_clean\train\def_front\cast_def_0_5378.jpeg,0,470.6008
data_clean\val\def_front\cast_def_0_1414.jpeg,0,480.5796
data_clean\val\def_front\cast_def_0_520.jpeg,0,486.4938
data_clean\train\def_front\cast_def_0_7917.jpeg,0,506.8997
data_clean\val\def_front\cast_def_0_1211.jpeg,0,515.0927
data_clean\train\def_front\cast_def_0_4802.jpeg,0,515.3411
data_clean\train\def_front\cast_def_0_7351.jpeg,0,539.5371
data_clean\train\def_front\cast_def_0_2868.jpeg,0,542.2759
data_clean\train\def_front\cast_def_0_4096.jpeg,0,542.7779
data_clean\train\def_front\cast_def_0_5512.jpeg,0,577.5134
data_clean\train\def_front\cast_def_0_7682.jpeg,0,628.8289
data_clean\train\def_front\cast_def_0_866.jpeg,0,637.5971
data_clean\train\def_front\cast_def_0_9845.jpeg,0,637.7526
data_clean\train\def_front\cast_def_0_4112.jpeg,0,643.9985
data_clean\train\def_front\cast_def_0_3330.jpeg,0,654.4521
data_clean\train\def_front\cast_def_0_6678.jpeg,0,672.2967
data_clean\train\def_front\cast_def_0_2663.jpeg,0,673.4293
data_clean\train\def_front\cast_def_0_8305.jpeg,0,686.2601
data_clean\train\def_front\cast_def_0_3137.jpeg,0,721.2552
data_clean\train\def_front\cast_def_0_2634.jpeg,0,752.0518
data_clean\train\def_front\cast_def_0_5556.jpeg,0,802.2648
data_clean\train\def_front\cast_def_0_2251.jpeg,0,802.4261
data_clean\val\def_front\cast_def_0_1260.jpeg,0,815.8380
data_clean\train\def_front\cast_def_0_9890.jpeg,0,819.6823
data_clean\train\def_front\cast_def_0_7246.jpeg,0,880.1735
data_clean\train\def_front\cast_def_0_4820.jpeg,0,1011.4742
data_clean\train\def_front\cast_def_0_5759.jpeg,0,1034.6891
data_clean\train\def_front\cast_def_0_4183.jpeg,0,1083.3491
data_clean\train\def_front\cast_def_0_126.jpeg,0,1176.2709
data_clean\train\def_front\cast_def_0_1994.jpeg,1,18.2395
data_clean\train\def_front\cast_def_0_5847.jpeg,1,18.2812
data_clean\train\def_front\cast_def_0_2356.jpeg,1,20.2158
data_clean\train\def_front\cast_def_0_9423.jpeg,1,20.9994
data_clean\train\def_front\cast_def_0_9872.jpeg,1,21.8265
data_clean\train\def_front\cast_def_0_7677.jpeg,1,22.2906
data_clean\train\def_front\cast_def_0_1921.jpeg,1,22.6472
data_clean\train\def_front\cast_def_0_3723.jpeg,1,22.6716
data_clean\train\def_front\cast_def_0_5914.jpeg,1,22.8742
data_clean\train\def_front\cast_def_0_1771.jpeg,1,22.9603
data_clean\train\def_front\cast_def_0_4445.jpeg,1,23.1747
data_clean\val\def_front\cast_def_0_247.jpeg,1,23.3156
data_clean\train\def_front\cast_def_0_8702.jpeg,1,23.3272
data_clean\train\def_front\cast_def_0_7635.jpeg,1,23.5475
data_clean\train\def_front\cast_def_0_5659.jpeg,1,23.5503
data_clean\val\def_front\cast_def_0_507.jpeg,1,24.1192
data_clean\train\def_front\cast_def_0_6784.jpeg,1,24.3669
data_clean\train\def_front\cast_def_0_3569.jpeg,1,24.7046
data_clean\train\def_front\cast_def_0_5833.jpeg,1,24.7970
data_clean\train\def_front\cast_def_0_430.jpeg,1,24.9436
data_clean\train\def_front\cast_def_0_2926.jpeg,1,25.0955
data_clean\train\def_front\cast_def_0_3534.jpeg,1,25.4515
data_clean\train\def_front\cast_def_0_1095.jpeg,1,25.6187
data_clean\train\def_front\cast_def_0_9367.jpeg,1,25.9122
data_clean\train\def_front\cast_def_0_1181.jpeg,1,26.1086
data_clean\train\def_front\cast_def_0_5315.jpeg,1,26.4777
data_clean\val\def_front\cast_def_0_1134.jpeg,1,26.5959
data_clean\train\def_front\cast_def_0_319.jpeg,1,26.6194
data_clean\train\def_front\cast_def_0_5482.jpeg,1,26.8871
data_clean\val\def_front\cast_def_0_1613.jpeg,1,26.8887
data_clean\train\def_front\cast_def_0_676.jpeg,1,26.9518
data_clean\train\def_front\cast_def_0_899.jpeg,1,27.0844
data_clean\train\def_front\cast_def_0_8126.jpeg,1,27.0966
data_clean\train\def_front\cast_def_0_7985.jpeg,1,27.4627
data_clean\val\def_front\cast_def_0_590.jpeg,1,27.5151
data_clean\train\def_front\cast_def_0_9935.jpeg,1,27.5202
data_clean\train\def_front\cast_def_0_7796.jpeg,1,27.5365
data_clean\val\def_front\cast_def_0_1599.jpeg,1,28.1300
data_clean\train\def_front\cast_def_0_720.jpeg,1,28.3589
data_clean\train\def_front\cast_def_0_4448.jpeg,1,28.4948
data_clean\train\def_front\cast_def_0_6910.jpeg,1,28.6062
data_clean\train\def_front\cast_def_0_7717.jpeg,1,28.6667
data_clean\train\def_front\cast_def_0_6787.jpeg,1,28.7897
data_clean\val\def_front\cast_def_0_642.jpeg,1,29.8362
data_clean\train\def_front\cast_def_0_3997.jpeg,1,29.9334
data_clean\train\def_front\cast_def_0_9281.jpeg,1,30.3074
data_clean\val\def_front\cast_def_0_1644.jpeg,1,30.6205
data_clean\train\def_front\cast_def_0_4384.jpeg,1,30.8373
data_clean\val\def_front\cast_def_0_1665.jpeg,1,30.9110
data_clean\train\def_front\cast_def_0_5031.jpeg,1,31.0526
data_clean\train\def_front\cast_def_0_9880.jpeg,1,31.2270
data_clean\train\def_front\cast_def_0_5672.jpeg,1,31.2910
data_clean\train\def_front\cast_def_0_2927.jpeg,1,31.3029
data_clean\train\def_front\cast_def_0_2711.jpeg,1,31.4567
data_clean\val\def_front\cast_def_0_283.jpeg,1,31.6064
data_clean\train\def_front\cast_def_0_7396.jpeg,1,31.6938
data_clean\train\def_front\cast_def_0_5651.jpeg,1,31.7499
data_clean\train\def_front\cast_def_0_5436.jpeg,1,32.0635
data_clean\train\def_front\cast_def_0_7233.jpeg,1,32.2479
data_clean\train\def_front\cast_def_0_7350.jpeg,1,32.2799
data_clean\train\def_front\cast_def_0_9730.jpeg,1,32.4799
data_clean\val\def_front\cast_def_0_175.jpeg,1,32.5181
data_clean\train\def_front\cast_def_0_2054.jpeg,1,32.5576
data_clean\train\def_front\cast_def_0_4107.jpeg,1,32.8040
data_clean\train\def_front\cast_def_0_6929.jpeg,1,32.8198
data_clean\train\def_front\cast_def_0_3934.jpeg,1,33.1409
data_clean\train\def_front\cast_def_0_9211.jpeg,1,33.4367
data_clean\train\def_front\cast_def_0_7284.jpeg,1,33.4688
data_clean\train\def_front\cast_def_0_194.jpeg,1,33.4849
data_clean\train\def_front\cast_def_0_7141.jpeg,1,33.9131
data_clean\train\def_front\cast_def_0_431.jpeg,1,33.9588
data_clean\train\def_front\cast_def_0_3690.jpeg,1,34.0195
data_clean\train\def_front\cast_def_0_4983.jpeg,1,34.0342
data_clean\train\def_front\cast_def_0_321.jpeg,1,34.0812
data_clean\train\def_front\cast_def_0_2114.jpeg,1,34.1488
data_clean\val\def_front\cast_def_0_231.jpeg,1,34.3587
data_clean\train\def_front\cast_def_0_7580.jpeg,1,34.3711
data_clean\train\def_front\cast_def_0_7407.jpeg,1,34.4505
data_clean\train\def_front\cast_def_0_9833.jpeg,1,34.4820
data_clean\train\def_front\cast_def_0_5113.jpeg,1,34.5508
data_clean\train\def_front\cast_def_0_777.jpeg,1,34.5659
data_clean\train\def_front\cast_def_0_6049.jpeg,1,34.7280
data_clean\train\def_front\cast_def_0_5071.jpeg,1,35.0496
data_clean\val\def_front\cast_def_0_558.jpeg,1,35.4087
data_clean\train\def_front\cast_def_0_1810.jpeg,1,35.6116
data_clean\train\def_front\cast_def_0_610.jpeg,1,35.6344
data_clean\train\def_front\cast_def_0_3035.jpeg,1,35.7027
data_clean\train\def_front\cast_def_0_5619.jpeg,1,35.7111
data_clean\train\def_front\cast_def_0_7485.jpeg,1,35.7638
data_clean\train\def_front\cast_def_0_2344.jpeg,1,35.8284
data_clean\train\def_front\cast_def_0_3131.jpeg,1,35.9204
data_clean\train\def_front\cast_def_0_9129.jpeg,1,36.2831
data_clean\train\def_front\cast_def_0_2621.jpeg,1,36.3127
data_clean\train\def_front\cast_def_0_5582.jpeg,1,36.3589
data_clean\val\def_front\cast_def_0_538.jpeg,1,36.3693
data_clean\val\def_front\new__0_6223.jpeg,1,36.3901
data_clean\train\def_front\cast_def_0_3166.jpeg,1,36.6826
data_clean\train\def_front\cast_def_0_4014.jpeg,1,36.8247
data_clean\train\def_front\cast_def_0_9871.jpeg,1,36.8572
data_clean\train\def_front\cast_def_0_7755.jpeg,1,36.8626
data_clean\train\def_front\cast_def_0_3045.jpeg,1,36.9037
data_clean\train\def_front\cast_def_0_5065.jpeg,1,37.0261
data_clean\train\def_front\cast_def_0_7973.jpeg,1,37.1057
data_clean\train\def_front\cast_def_0_9434.jpeg,1,37.2976
data_clean\train\def_front\cast_def_0_8567.jpeg,1,37.3131
data_clean\train\def_front\cast_def_0_7921.jpeg,1,37.4892
data_clean\train\def_front\cast_def_0_3876.jpeg,1,37.5060
data_clean\train\def_front\cast_def_0_8498.jpeg,1,37.7428
data_clean\train\def_front\cast_def_0_6725.jpeg,1,37.9058
data_clean\train\def_front\cast_def_0_3351.jpeg,1,38.0836
data_clean\train\def_front\cast_def_0_4602.jpeg,1,38.2597
data_clean\train\def_front\cast_def_0_5888.jpeg,1,38.4250
data_clean\train\def_front\cast_def_0_9091.jpeg,1,38.4511
data_clean\train\def_front\cast_def_0_6588.jpeg,1,38.6435
data_clean\train\def_front\cast_def_0_7329.jpeg,1,38.6917
data_clean\train\def_front\cast_def_0_1287.jpeg,1,38.7194
data_clean\train\def_front\cast_def_0_3227.jpeg,1,38.7435
data_clean\train\def_front\cast_def_0_6775.jpeg,1,38.7651
data_clean\train\def_front\cast_def_0_5951.jpeg,1,38.8503
data_clean\train\def_front\cast_def_0_8481.jpeg,1,38.8605
data_clean\train\def_front\cast_def_0_9744.jpeg,1,38.9118
data_clean\train\def_front\cast_def_0_9128.jpeg,1,38.9684
data_clean\val\def_front\cast_def_0_2276.jpeg,1,39.0140
data_clean\train\def_front\cast_def_0_9357.jpeg,1,39.1151
data_clean\train\def_front\cast_def_0_7416.jpeg,1,39.1976
data_clean\train\def_front\cast_def_0_959.jpeg,1,39.2941
data_clean\train\def_front\cast_def_0_4772.jpeg,1,39.3833
data_clean\train\def_front\cast_def_0_5930.jpeg,1,39.5165
data_clean\train\def_front\cast_def_0_3655.jpeg,1,39.7697
data_clean\train\def_front\cast_def_0_2527.jpeg,1,39.7755
data_clean\train\def_front\cast_def_0_3152.jpeg,1,39.8575
data_clean\train\def_front\cast_def_0_907.jpeg,1,39.8636
data_clean\train\def_front\cast_def_0_7582.jpeg,1,39.8856
data_clean\train\def_front\cast_def_0_7376.jpeg,1,40.0074
data_clean\train\def_front\cast_def_0_1341.jpeg,1,40.1036
data_clean\train\def_front\cast_def_0_3727.jpeg,1,40.1157
data_clean\train\def_front\cast_def_0_3650.jpeg,1,40.1475
data_clean\train\def_front\cast_def_0_687.jpeg,1,40.2263
data_clean\train\def_front\cast_def_0_347.jpeg,1,40.3066
data_clean\train\def_front\cast_def_0_6498.jpeg,1,40.3117
data_clean\train\def_front\cast_def_0_8137.jpeg,1,40.4814
data_clean\train\def_front\cast_def_0_8079.jpeg,1,40.5729
data_clean\train\def_front\cast_def_0_3608.jpeg,1,40.6974
data_clean\train\def_front\cast_def_0_7935.jpeg,1,40.7281
data_clean\train\def_front\cast_def_0_8654.jpeg,1,40.7299
data_clean\train\def_front\cast_def_0_7805.jpeg,1,40.8976
data_clean\train\def_front\cast_def_0_2571.jpeg,1,40.9201
data_clean\train\def_front\cast_def_0_4889.jpeg,1,40.9769
data_clean\val\def_front\new__0_2091.jpeg,1,41.0906
data_clean\train\def_front\cast_def_0_7860.jpeg,1,41.1378
data_clean\train\def_front\cast_def_0_7814.jpeg,1,41.1514
data_clean\train\def_front\cast_def_0_840.jpeg,1,41.2486
data_clean\val\def_front\cast_def_0_3121.jpeg,1,41.4057
data_clean\val\def_front\cast_def_0_1647.jpeg,1,41.4854
data_clean\train\def_front\cast_def_0_8984.jpeg,1,41.7276
data_clean\val\def_front\cast_def_0_3500.jpeg,1,41.8206
data_clean\train\def_front\cast_def_0_8679.jpeg,1,41.9600
data_clean\train\def_front\cast_def_0_6372.jpeg,1,41.9880
data_clean\train\def_front\cast_def_0_9349.jpeg,1,42.1094
