file,split,hand_labelled,p_fray,p_chip,p_spot,p_slash
data_clean\train\def_front\cast_def_0_1090.jpeg,train,0,0.9994,0.2332,0.0046,0.9614
data_clean\train\def_front\cast_def_0_1092.jpeg,train,0,0.9977,0.1936,0.0340,0.8812
data_clean\train\def_front\cast_def_0_1094.jpeg,train,0,0.0035,0.0003,0.2196,0.8232
data_clean\train\def_front\cast_def_0_1095.jpeg,train,0,0.9999,0.2557,0.1167,0.6982
data_clean\train\def_front\cast_def_0_1097.jpeg,train,0,0.9994,0.4247,0.5268,0.4267
data_clean\train\def_front\cast_def_0_1098.jpeg,train,0,0.0008,0.9896,0.0004,0.2447
data_clean\train\def_front\cast_def_0_1099.jpeg,train,0,1.0000,0.3169,0.3343,0.4846
data_clean\train\def_front\cast_def_0_11.jpeg,train,0,0.0051,0.0403,0.9430,0.0277
data_clean\train\def_front\cast_def_0_110.jpeg,train,0,0.0021,0.0175,0.0278,0.7839
data_clean\train\def_front\cast_def_0_1102.jpeg,train,0,0.0000,0.9997,0.0004,0.0029
data_clean\train\def_front\cast_def_0_1104.jpeg,train,0,0.0001,0.0143,0.8586,0.0695
data_clean\train\def_front\cast_def_0_1105.jpeg,train,0,0.0012,0.0513,0.6656,0.2967
data_clean\train\def_front\cast_def_0_1107.jpeg,train,0,0.0057,0.0076,0.0294,0.9295
data_clean\train\def_front\cast_def_0_1108.jpeg,train,0,0.0047,0.0843,0.6218,0.3953
data_clean\train\def_front\cast_def_0_1110.jpeg,train,0,0.0118,0.0497,0.8873,0.1448
data_clean\train\def_front\cast_def_0_1112.jpeg,train,1,0.0004,0.2104,0.9362,0.0287
data_clean\train\def_front\cast_def_0_1113.jpeg,train,0,0.0018,0.0530,0.4568,0.1993
data_clean\train\def_front\cast_def_0_1116.jpeg,train,0,0.0003,0.9930,0.0045,0.0286
data_clean\train\def_front\cast_def_0_1127.jpeg,train,0,0.0003,0.0296,0.8764,0.1501
data_clean\train\def_front\cast_def_0_1133.jpeg,train,0,0.9999,0.4340,0.4567,0.4649
data_clean\train\def_front\cast_def_0_1149.jpeg,train,0,1.0000,0.2319,0.2369,0.4970
data_clean\train\def_front\cast_def_0_1151.jpeg,train,0,0.0004,0.0397,0.8206,0.1019
data_clean\train\def_front\cast_def_0_1152.jpeg,train,0,0.0016,0.9969,0.0002,0.0985
data_clean\train\def_front\cast_def_0_1154.jpeg,train,0,0.0011,0.0801,0.8964,0.0625
data_clean\train\def_front\cast_def_0_1155.jpeg,train,0,0.0002,0.0767,0.8695,0.0920
data_clean\train\def_front\cast_def_0_1156.jpeg,train,0,0.9999,0.0274,0.0019,0.9341
data_clean\train\def_front\cast_def_0_116.jpeg,train,0,0.0006,0.0277,0.6441,0.1101
data_clean\train\def_front\cast_def_0_1162.jpeg,train,0,0.0027,0.0031,0.0209,0.9447
data_clean\train\def_front\cast_def_0_1167.jpeg,train,0,0.0001,0.5647,0.9442,0.0053
data_clean\train\def_front\cast_def_0_1169.jpeg,train,0,0.9999,0.3079,0.2424,0.5353
data_clean\train\def_front\cast_def_0_1175.jpeg,train,0,0.0000,0.4971,0.8673,0.0033
data_clean\train\def_front\cast_def_0_1178.jpeg,train,0,0.0007,0.0239,0.7276,0.2716
data_clean\train\def_front\cast_def_0_1179.jpeg,train,0,0.0002,0.0061,0.7089,0.1681
data_clean\train\def_front\cast_def_0_1180.jpeg,train,0,0.0097,0.0425,0.3400,0.5357
data_clean\train\def_front\cast_def_0_1181.jpeg,train,0,0.9999,0.2145,0.0158,0.8733
data_clean\train\def_front\cast_def_0_1182.jpeg,train,0,0.0014,0.0469,0.4614,0.2233
data_clean\train\def_front\cast_def_0_1183.jpeg,train,0,0.9877,0.7662,0.7637,0.2226
data_clean\train\def_front\cast_def_0_1184.jpeg,train,0,0.0028,0.1115,0.5344,0.3036
data_clean\train\def_front\cast_def_0_1185.jpeg,train,0,0.0004,0.0110,0.5799,0.2167
data_clean\train\def_front\cast_def_0_1194.jpeg,train,0,0.0003,0.1244,0.7132,0.0653
data_clean\train\def_front\cast_def_0_1197.jpeg,train,0,0.0007,0.0350,0.8323,0.0904
data_clean\train\def_front\cast_def_0_120.jpeg,train,0,0.9998,0.3034,0.1268,0.5001
data_clean\train\def_front\cast_def_0_1204.jpeg,train,0,0.0008,0.0903,0.8345,0.1150
data_clean\train\def_front\cast_def_0_1207.jpeg,train,0,0.0015,0.9960,0.0001,0.1270
data_clean\train\def_front\cast_def_0_1209.jpeg,train,0,0.0002,0.0756,0.7893,0.0955
data_clean\train\def_front\cast_def_0_1210.jpeg,train,1,0.9999,0.0690,0.0074,0.9496
data_clean\train\def_front\cast_def_0_1212.jpeg,train,1,0.9981,0.5189,0.5975,0.3208
data_clean\train\def_front\cast_def_0_1216.jpeg,train,0,0.0014,0.0388,0.8652,0.1116
data_clean\train\def_front\cast_def_0_122.jpeg,train,0,0.0010,0.0974,0.7304,0.2479
data_clean\train\def_front\cast_def_0_1221.jpeg,train,0,0.9997,0.1890,0.0856,0.5194
data_clean\train\def_front\cast_def_0_1239.jpeg,train,0,0.0002,0.0225,0.7762,0.1787
data_clean\train\def_front\cast_def_0_1240.jpeg,train,0,0.0036,0.0235,0.9297,0.0895
data_clean\train\def_front\cast_def_0_1243.jpeg,train,1,0.0007,0.0160,0.5782,0.2524
data_clean\train\def_front\cast_def_0_1244.jpeg,train,0,0.0007,0.1466,0.8481,0.0488
data_clean\train\def_front\cast_def_0_1245.jpeg,train,0,0.9995,0.2570,0.0706,0.5166
data_clean\train\def_front\cast_def_0_1246.jpeg,train,0,0.0071,0.0165,0.6914,0.5894
data_clean\train\def_front\cast_def_0_1247.jpeg,train,0,0.0003,0.0890,0.8499,0.0392
data_clean\train\def_front\cast_def_0_1249.jpeg,train,0,0.9991,0.5122,0.4011,0.4006
data_clean\train\def_front\cast_def_0_1254.jpeg,train,0,0.0035,0.0145,0.2850,0.5512
data_clean\train\def_front\cast_def_0_126.jpeg,train,0,1.0000,0.0230,0.0073,0.4144
data_clean\train\def_front\cast_def_0_1270.jpeg,train,0,0.9998,0.1207,0.0228,0.6797
data_clean\train\def_front\cast_def_0_1272.jpeg,train,0,0.9988,0.7245,0.9462,0.8486
data_clean\train\def_front\cast_def_0_1273.jpeg,train,0,0.9999,0.2555,0.0644,0.7072
data_clean\train\def_front\cast_def_0_1276.jpeg,train,0,0.4397,0.0455,0.0254,0.9497
data_clean\train\def_front\cast_def_0_1278.jpeg,train,0,0.0029,0.0003,0.0742,0.9478
data_clean\train\def_front\cast_def_0_1279.jpeg,train,0,0.0000,0.5417,0.8860,0.0067
data_clean\train\def_front\cast_def_0_1286.jpeg,train,0,0.0003,0.0423,0.5926,0.3124
data_clean\train\def_front\cast_def_0_1287.jpeg,train,0,0.0001,0.5760,0.8796,0.0063
data_clean\train\def_front\cast_def_0_1289.jpeg,train,0,0.9997,0.2206,0.0214,0.6670
data_clean\train\def_front\cast_def_0_13.jpeg,train,1,0.9993,0.5704,0.5721,0.3048
data_clean\train\def_front\cast_def_0_130.jpeg,train,0,0.9995,0.2121,0.0019,0.9830
data_clean\train\def_front\cast_def_0_1301.jpeg,train,1,0.9997,0.6776,0.9287,0.8372
data_clean\train\def_front\cast_def_0_1302.jpeg,train,0,0.0008,0.0062,0.5426,0.4911
data_clean\train\def_front\cast_def_0_1305.jpeg,train,0,0.9959,0.7021,0.8195,0.4488
data_clean\train\def_front\cast_def_0_1306.jpeg,train,0,0.0008,0.0111,0.5194,0.3949
data_clean\train\def_front\cast_def_0_1307.jpeg,train,0,0.0006,0.0287,0.0181,0.8206
data_clean\train\def_front\cast_def_0_131.jpeg,train,1,0.9996,0.2628,0.0023,0.9398
data_clean\train\def_front\cast_def_0_1310.jpeg,train,0,0.0003,0.9982,0.0005,0.0469
data_clean\train\def_front\cast_def_0_1313.jpeg,train,0,0.0001,0.0987,0.9226,0.0135
data_clean\train\def_front\cast_def_0_1315.jpeg,train,0,0.0014,0.9974,0.0002,0.0768
data_clean\train\def_front\cast_def_0_1316.jpeg,train,0,0.0000,0.2568,0.9398,0.0040
data_clean\train\def_front\cast_def_0_1325.jpeg,train,0,0.0005,0.1175,0.8033,0.0639
data_clean\train\def_front\cast_def_0_1328.jpeg,train,1,0.9998,0.6454,0.9107,0.8070
data_clean\train\def_front\cast_def_0_133.jpeg,train,0,0.0006,0.9964,0.0007,0.0561
data_clean\train\def_front\cast_def_0_1334.jpeg,train,0,0.0003,0.1737,0.9162,0.0223
data_clean\train\def_front\cast_def_0_1339.jpeg,train,0,0.0013,0.9992,0.0001,0.0903
data_clean\train\def_front\cast_def_0_1341.jpeg,train,0,0.0000,0.2795,0.9572,0.0085
data_clean\train\def_front\cast_def_0_1342.jpeg,train,0,0.9979,0.3579,0.0086,0.9117
data_clean\train\def_front\cast_def_0_1345.jpeg,train,0,0.0024,0.0515,0.5900,0.3768
data_clean\train\def_front\cast_def_0_1347.jpeg,train,0,0.0210,0.2905,0.8459,0.2519
data_clean\train\def_front\cast_def_0_1348.jpeg,train,0,0.0011,0.0818,0.9604,0.0249
data_clean\train\def_front\cast_def_0_135.jpeg,train,0,0.0271,0.3999,0.8880,0.2330
data_clean\train\def_front\cast_def_0_136.jpeg,train,0,1.0000,0.2281,0.2008,0.4335
data_clean\train\def_front\cast_def_0_1360.jpeg,train,0,0.1791,0.1178,0.8663,0.4472
data_clean\train\def_front\cast_def_0_1363.jpeg,train,0,0.0076,0.3026,0.8660,0.1781
data_clean\train\def_front\cast_def_0_1364.jpeg,train,0,0.0001,0.1001,0.0055,0.6996
data_clean\train\def_front\cast_def_0_1369.jpeg,train,0,0.0010,0.0161,0.5982,0.3119
data_clean\train\def_front\cast_def_0_1370.jpeg,train,0,0.9999,0.1211,0.0090,0.8978
data_clean\train\def_front\cast_def_0_1375.jpeg,train,0,0.9992,0.2694,0.2495,0.3487
data_clean\train\def_front\cast_def_0_1402.jpeg,train,0,0.9999,0.1796,0.1416,0.4188
data_clean\train\def_front\cast_def_0_1405.jpeg,train,0,0.0031,0.0002,0.1279,0.8868
data_clean\train\def_front\cast_def_0_1406.jpeg,train,0,0.0031,0.2374,0.9255,0.0394
data_clean\train\def_front\cast_def_0_1407.jpeg,train,0,0.0004,0.0235,0.0131,0.8473
data_clean\train\def_front\cast_def_0_1408.jpeg,train,0,0.0006,0.0153,0.8574,0.1285
data_clean\train\def_front\cast_def_0_1409.jpeg,train,0,0.9999,0.3406,0.4209,0.5687
data_clean\train\def_front\cast_def_0_1427.jpeg,train,0,0.0003,0.0515,0.7671,0.1071
data_clean\train\def_front\cast_def_0_1428.jpeg,train,0,0.0016,0.0224,0.0586,0.8060
data_clean\train\def_front\cast_def_0_1439.jpeg,train,0,0.0002,0.0060,0.9345,0.1519
data_clean\train\def_front\cast_def_0_1454.jpeg,train,0,0.0874,0.1131,0.0997,0.5224
data_clean\train\def_front\cast_def_0_1457.jpeg,train,0,0.0009,0.0679,0.8965,0.0607
data_clean\train\def_front\cast_def_0_1459.jpeg,train,0,0.9971,0.2524,0.1229,0.7377
data_clean\train\def_front\cast_def_0_148.jpeg,train,0,0.0003,0.0371,0.8726,0.0864
data_clean\train\def_front\cast_def_0_1488.jpeg,train,0,0.0003,0.0208,0.8566,0.0933
data_clean\train\def_front\cast_def_0_1490.jpeg,train,0,0.9999,0.2192,0.1866,0.7336
data_clean\train\def_front\cast_def_0_15.jpeg,train,0,0.0006,0.9983,0.0001,0.0641
data_clean\train\def_front\cast_def_0_163.jpeg,train,0,0.0020,0.0156,0.0037,0.9434
data_clean\train\def_front\cast_def_0_1669.jpeg,train,0,0.9997,0.1792,0.0013,0.9552
data_clean\train\def_front\cast_def_0_1670.jpeg,train,0,0.9999,0.2243,0.1326,0.6856
data_clean\train\def_front\cast_def_0_1671.jpeg,train,0,0.9999,0.2488,0.1570,0.6140
data_clean\train\def_front\cast_def_0_1673.jpeg,train,0,0.9996,0.6510,0.9363,0.8915
data_clean\train\def_front\cast_def_0_1689.jpeg,train,0,0.0051,0.0038,0.0184,0.9582
data_clean\train\def_front\cast_def_0_1692.jpeg,train,0,1.0000,0.0492,0.0100,0.6098
data_clean\train\def_front\cast_def_0_1693.jpeg,train,0,0.0000,0.5742,0.9388,0.0042
data_clean\train\def_front\cast_def_0_1694.jpeg,train,0,0.9986,0.1160,0.0068,0.9469
data_clean\train\def_front\cast_def_0_1695.jpeg,train,0,0.0007,0.9993,0.0003,0.0203
data_clean\train\def_front\cast_def_0_1696.jpeg,train,0,0.0204,0.1001,0.9139,0.1478
data_clean\train\def_front\cast_def_0_1697.jpeg,train,0,0.0003,0.0055,0.7668,0.3311
data_clean\train\def_front\cast_def_0_1705.jpeg,train,0,0.9995,0.3553,0.0881,0.6221
data_clean\train\def_front\cast_def_0_1706.jpeg,train,0,0.2700,0.0096,0.0005,0.9972
data_clean\train\def_front\cast_def_0_1707.jpeg,train,0,0.0000,0.6049,0.8318,0.0103
data_clean\train\def_front\cast_def_0_1709.jpeg,train,0,0.1591,0.0339,0.0004,0.9938
data_clean\train\def_front\cast_def_0_1710.jpeg,train,0,0.0005,0.0155,0.7552,0.2565
data_clean\train\def_front\cast_def_0_1711.jpeg,train,0,0.0004,0.0759,0.8020,0.1249
data_clean\train\def_front\cast_def_0_1713.jpeg,train,0,0.9999,0.3110,0.2959,0.5363
data_clean\train\def_front\cast_def_0_1717.jpeg,train,0,0.0014,0.0755,0.7606,0.1069
data_clean\train\def_front\cast_def_0_1720.jpeg,train,0,0.9990,0.2689,0.0978,0.5906
data_clean\train\def_front\cast_def_0_1723.jpeg,train,0,0.0005,0.0872,0.7449,0.0922
data_clean\train\def_front\cast_def_0_1727.jpeg,train,0,0.1544,0.0200,0.0532,0.8498
data_clean\train\def_front\cast_def_0_1728.jpeg,train,0,1.0000,0.2109,0.0855,0.5923
data_clean\train\def_front\cast_def_0_1731.jpeg,train,0,0.0011,0.9970,0.0001,0.1420
data_clean\train\def_front\cast_def_0_1733.jpeg,train,0,1.0000,0.0861,0.0203,0.9064
data_clean\train\def_front\cast_def_0_1734.jpeg,train,0,0.9972,0.5436,0.4743,0.3093
data_clean\train\def_front\cast_def_0_1737.jpeg,train,0,0.0008,0.0604,0.8721,0.0802
data_clean\train\def_front\cast_def_0_1738.jpeg,train,0,1.0000,0.1654,0.0343,0.8449
data_clean\train\def_front\cast_def_0_1745.jpeg,train,0,0.9995,0.6232,0.8972,0.8939
data_clean\train\def_front\cast_def_0_175.jpeg,train,0,0.0002,0.0136,0.8086,0.1413
data_clean\train\def_front\cast_def_0_1750.jpeg,train,0,0.0042,0.0938,0.3853,0.1681
data_clean\train\def_front\cast_def_0_1752.jpeg,train,0,0.0007,0.0147,0.8626,0.1490
data_clean\train\def_front\cast_def_0_1754.jpeg,train,0,0.9946,0.6006,0.5951,0.1823
data_clean\train\def_front\cast_def_0_1761.jpeg,train,0,0.0033,0.0274,0.6201,0.2022
data_clean\train\def_front\cast_def_0_1762.jpeg,train,0,0.0012,0.9970,0.0003,0.0878
data_clean\train\def_front\cast_def_0_1763.jpeg,train,1,0.9978,0.5075,0.4436,0.2302
data_clean\train\def_front\cast_def_0_1768.jpeg,train,0,0.0035,0.0106,0.0135,0.9522
data_clean\train\def_front\cast_def_0_1770.jpeg,train,0,0.9999,0.0875,0.0143,0.8546
data_clean\train\def_front\cast_def_0_1771.jpeg,train,0,0.9999,0.3101,0.1647,0.6109
data_clean\train\def_front\cast_def_0_1775.jpeg,train,0,0.0031,0.0198,0.5049,0.2430
data_clean\train\def_front\cast_def_0_1776.jpeg,train,0,0.0002,0.0293,0.7023,0.1182
data_clean\train\def_front\cast_def_0_1778.jpeg,train,1,0.0006,0.9901,0.0007,0.0913
data_clean\train\def_front\cast_def_0_1781.jpeg,train,0,0.0060,0.0031,0.0252,0.9609
data_clean\train\def_front\cast_def_0_1782.jpeg,train,0,0.9999,0.2016,0.0484,0.8648
data_clean\train\def_front\cast_def_0_1784.jpeg,train,0,0.0004,0.0604,0.9159,0.0352
data_clean\train\def_front\cast_def_0_1785.jpeg,train,0,0.9869,0.8291,0.8483,0.2427
data_clean\train\def_front\cast_def_0_1786.jpeg,train,0,0.0011,0.1474,0.7277,0.0665
data_clean\train\def_front\cast_def_0_1791.jpeg,train,0,0.0287,0.2677,0.7999,0.1684
data_clean\train\def_front\cast_def_0_1794.jpeg,train,0,0.9999,0.3160,0.3299,0.5421
data_clean\train\def_front\cast_def_0_1797.jpeg,train,0,0.0005,0.0186,0.8489,0.1938
data_clean\train\def_front\cast_def_0_1799.jpeg,train,0,0.0342,0.1114,0.4503,0.1761
data_clean\train\def_front\cast_def_0_1800.jpeg,train,0,0.0000,0.3185,0.8769,0.0043
data_clean\train\def_front\cast_def_0_1801.jpeg,train,0,0.9992,0.8108,0.9699,0.8681
data_clean\train\def_front\cast_def_0_1804.jpeg,train,0,0.0059,0.2131,0.6375,0.2852
data_clean\train\def_front\cast_def_0_1807.jpeg,train,0,1.0000,0.0636,0.0075,0.9316
data_clean\train\def_front\cast_def_0_1810.jpeg,train,0,0.9994,0.2483,0.0059,0.9212
data_clean\train\def_front\cast_def_0_1811.jpeg,train,0,0.0075,0.1080,0.9071,0.0808
data_clean\train\def_front\cast_def_0_1815.jpeg,train,0,0.0005,0.0140,0.7746,0.2224
data_clean\train\def_front\cast_def_0_1816.jpeg,train,0,0.0016,0.0205,0.7082,0.2285
data_clean\train\def_front\cast_def_0_1817.jpeg,train,0,0.0002,0.0128,0.7827,0.1483
data_clean\train\def_front\cast_def_0_1825.jpeg,train,0,0.0020,0.9962,0.0001,0.1228
data_clean\train\def_front\cast_def_0_1827.jpeg,train,0,0.0000,0.9999,0.0002,0.0014
data_clean\train\def_front\cast_def_0_1828.jpeg,train,0,0.0002,0.0237,0.8857,0.1110
data_clean\train\def_front\cast_def_0_1831.jpeg,train,0,0.0003,0.2966,0.2061,0.1454
data_clean\train\def_front\cast_def_0_1832.jpeg,train,0,0.0124,0.0300,0.0142,0.9608
data_clean\train\def_front\cast_def_0_1833.jpeg,train,0,0.9996,0.0506,0.0013,0.9779
data_clean\train\def_front\cast_def_0_1834.jpeg,train,0,0.0003,0.0072,0.7796,0.2543
data_clean\train\def_front\cast_def_0_1836.jpeg,train,0,0.0003,0.0066,0.7132,0.2531
data_clean\train\def_front\cast_def_0_1840.jpeg,train,0,0.9992,0.4717,0.3612,0.4115
data_clean\train\def_front\cast_def_0_1842.jpeg,train,0,1.0000,0.3680,0.4196,0.5095
data_clean\train\def_front\cast_def_0_1844.jpeg,train,0,0.0212,0.0157,0.7236,0.4287
data_clean\train\def_front\cast_def_0_1847.jpeg,train,0,0.0255,0.2589,0.8753,0.1411
data_clean\train\def_front\cast_def_0_1850.jpeg,train,0,0.0004,0.0074,0.8611,0.2491
data_clean\train\def_front\cast_def_0_1852.jpeg,train,0,0.9995,0.0947,0.0008,0.9798
data_clean\train\def_front\cast_def_0_1853.jpeg,train,1,0.0008,0.0027,0.7972,0.1717
data_clean\train\def_front\cast_def_0_1856.jpeg,train,0,0.0870,0.3775,0.8504,0.1783
data_clean\train\def_front\cast_def_0_1858.jpeg,train,0,0.0111,0.0267,0.4962,0.2916
data_clean\train\def_front\cast_def_0_186.jpeg,train,0,0.0002,0.0146,0.8107,0.1030
data_clean\train\def_front\cast_def_0_1860.jpeg,train,0,0.0018,0.0276,0.3644,0.4705
data_clean\train\def_front\cast_def_0_1861.jpeg,train,0,0.0050,0.1898,0.9160,0.0352
data_clean\train\def_front\cast_def_0_1862.jpeg,train,0,0.9996,0.0966,0.0031,0.9551
data_clean\train\def_front\cast_def_0_1863.jpeg,train,0,0.0004,0.1254,0.8662,0.0804
data_clean\train\def_front\cast_def_0_1866.jpeg,train,0,0.0060,0.0434,0.0055,0.9649
data_clean\train\def_front\cast_def_0_1868.jpeg,train,1,0.0056,0.0952,0.9400,0.0684
data_clean\train\def_front\cast_def_0_1870.jpeg,train,0,0.0012,0.1413,0.8164,0.0405
data_clean\train\def_front\cast_def_0_1881.jpeg,train,0,0.0003,0.0017,0.8022,0.4522
data_clean\train\def_front\cast_def_0_1883.jpeg,train,0,0.9999,0.3508,0.4475,0.4332
data_clean\train\def_front\cast_def_0_1884.jpeg,train,0,0.0000,0.6721,0.8179,0.0069
data_clean\train\def_front\cast_def_0_1886.jpeg,train,0,0.9990,0.4730,0.5375,0.4348
data_clean\train\def_front\cast_def_0_1887.jpeg,train,0,0.9994,0.0627,0.0185,0.3688
data_clean\train\def_front\cast_def_0_1891.jpeg,train,0,0.0006,0.0139,0.8281,0.1778
data_clean\train\def_front\cast_def_0_1892.jpeg,train,0,0.9996,0.2041,0.0039,0.9575
data_clean\train\def_front\cast_def_0_1895.jpeg,train,0,0.0000,0.9999,0.0010,0.0010
data_clean\train\def_front\cast_def_0_1896.jpeg,train,1,0.0090,0.0470,0.6228,0.3802
data_clean\train\def_front\cast_def_0_1899.jpeg,train,0,0.9987,0.6452,0.6979,0.2348
data_clean\train\def_front\cast_def_0_19.jpeg,train,0,0.9907,0.0686,0.2367,0.6404
data_clean\train\def_front\cast_def_0_1906.jpeg,train,0,0.0142,0.3420,0.8150,0.0560
data_clean\train\def_front\cast_def_0_1907.jpeg,train,0,1.0000,0.2363,0.1745,0.5457
data_clean\train\def_front\cast_def_0_1909.jpeg,train,0,0.9991,0.3283,0.0110,0.9008
data_clean\train\def_front\cast_def_0_191.jpeg,train,0,0.0123,0.0509,0.3028,0.6537
data_clean\train\def_front\cast_def_0_1912.jpeg,train,0,0.0010,0.9830,0.0029,0.0682
data_clean\train\def_front\cast_def_0_1915.jpeg,train,0,0.0000,0.4820,0.8961,0.0057
data_clean\train\def_front\cast_def_0_1918.jpeg,train,0,0.0549,0.0386,0.1231,0.6011
data_clean\train\def_front\cast_def_0_1919.jpeg,train,0,0.0000,0.5423,0.9344,0.0043
data_clean\train\def_front\cast_def_0_192.jpeg,train,0,0.9979,0.4086,0.2368,0.3289
data_clean\train\def_front\cast_def_0_1920.jpeg,train,0,0.0391,0.0719,0.3888,0.6420
data_clean\train\def_front\cast_def_0_1921.jpeg,train,0,0.9999,0.1141,0.0252,0.8260
data_clean\train\def_front\cast_def_0_1922.jpeg,train,0,1.0000,0.2589,0.1706,0.6179
data_clean\train\def_front\cast_def_0_1926.jpeg,train,0,0.0019,0.0523,0.8310,0.0967
data_clean\train\def_front\cast_def_0_1928.jpeg,train,0,0.0050,0.2360,0.8931,0.0544
data_clean\train\def_front\cast_def_0_193.jpeg,train,1,0.0982,0.4450,0.8534,0.1889
data_clean\train\def_front\cast_def_0_1931.jpeg,train,0,0.9987,0.3245,0.1115,0.7467
data_clean\train\def_front\cast_def_0_1939.jpeg,train,0,0.9998,0.1125,0.0050,0.8421
data_clean\train\def_front\cast_def_0_194.jpeg,train,0,0.9991,0.7562,0.9400,0.8428
data_clean\train\def_front\cast_def_0_1946.jpeg,train,0,1.0000,0.0442,0.0070,0.9359
data_clean\train\def_front\cast_def_0_1948.jpeg,train,0,0.0011,0.0609,0.5303,0.1546
data_clean\train\def_front\cast_def_0_1950.jpeg,train,0,0.9959,0.3304,0.0608,0.8558
data_clean\train\def_front\cast_def_0_1951.jpeg,train,0,0.0010,0.0381,0.7446,0.0992
data_clean\train\def_front\cast_def_0_1953.jpeg,train,1,0.0006,0.0340,0.0059,0.9497
data_clean\train\def_front\cast_def_0_1954.jpeg,train,0,0.9999,0.1334,0.0079,0.8723
data_clean\train\def_front\cast_def_0_196.jpeg,train,1,0.0000,0.4749,0.8469,0.0058
data_clean\train\def_front\cast_def_0_1960.jpeg,train,0,0.9982,0.7399,0.7969,0.3698
data_clean\train\def_front\cast_def_0_1961.jpeg,train,0,0.9994,0.0593,0.0008,0.9787
